id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,subset_category,image_path
56722,Men,Footwear,Shoes,Casual Shoes,Maroon,Fall,2012.0,Casual,Converse Men Maroon Shoes,Casual Shoes,data/subset/Casual Shoes/56722.jpg
15104,Women,Apparel,Topwear,Kurtas,Black,Fall,2011.0,Ethnic,Mother Earth Women Printed Black Kurtas,Kurtas,data/subset/Kurtas/15104.jpg
41712,Women,Footwear,Shoes,Heels,Teal,Winter,2012.0,Casual,Catwalk Women Teal Wedges,Heels,data/subset/Heels/41712.jpg
18401,Men,Footwear,Sandal,Sandals,Brown,Fall,2011.0,Casual,Skechers Men USA Brown Sandals,Sandals,data/subset/Sandals/18401.jpg
7168,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Scullers Men Scul Blue White Shirt,Shirts,data/subset/Shirts/7168.jpg
50194,Boys,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Gini and Jony Boys Black T-shirt,Tshirts,data/subset/Tshirts/50194.jpg
41709,Women,Footwear,Shoes,Heels,Black,Winter,2012.0,Casual,Catwalk Women Black Heels,Heels,data/subset/Heels/41709.jpg
44443,Men,Footwear,Sandal,Sandals,Black,Fall,2012.0,Casual,Gliders Men Black & Brown Volant Sandals,Sandals,data/subset/Sandals/44443.jpg
33169,Women,Apparel,Topwear,Tops,Yellow,Summer,2012.0,Casual,Sepia Women Yellow Top,Tops,data/subset/Tops/33169.jpg
24416,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,ADIDAS Men Opticourt Ligra White Sports Shoes,Sports Shoes,data/subset/Sports Shoes/24416.jpg
22245,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2011.0,Casual,ID Men Brown Casual Shoes,Casual Shoes,data/subset/Casual Shoes/22245.jpg
22189,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2012.0,Casual,Timberland Men Brown Casual Shoes,Casual Shoes,data/subset/Casual Shoes/22189.jpg
20118,Women,Apparel,Topwear,Kurtas,Orange,Fall,2011.0,Ethnic,Diva Women Printed Orange Kurta,Kurtas,data/subset/Kurtas/20118.jpg
31624,Men,Apparel,Topwear,Shirts,Lavender,Summer,2012.0,Formal,Indigo Nation Men Lavender Shirt,Shirts,data/subset/Shirts/31624.jpg
31100,Boys,Apparel,Topwear,Shirts,Navy Blue,Summer,2012.0,Casual,Gini and Jony Boys Check Navy Blue Shirt,Shirts,data/subset/Shirts/31100.jpg
16781,Unisex,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,ADIDAS Originals Unisex Black Dial Watch ADH2133,Watches,data/subset/Watches/16781.jpg
45264,Men,Accessories,Watches,Watches,Olive,Winter,2016.0,Casual,CASIO G-Shock Olive Digital Watch G245,Watches,data/subset/Watches/45264.jpg
22290,Women,Footwear,Shoes,Heels,Silver,Winter,2012.0,Casual,Inc. 5 Women Casual Silver Flats,Heels,data/subset/Heels/22290.jpg
